State,Weather_Condition,Severity,Count
AL,Clear,1,4
AL,Clear,2,3863
AL,Clear,3,2207
AL,Clear,4,5
AL,Fair,1,234
AL,Fair,2,18006
AL,Fair,3,5227
AL,Fair,4,118
AL,Mostly Cloudy,1,100
AL,Mostly Cloudy,2,6203
AL,Mostly Cloudy,3,3113
AL,Mostly Cloudy,4,49
AL,Overcast,1,3
AL,Overcast,2,2768
AL,Overcast,3,1620
AL,Overcast,4,5
AL,Partly Cloudy,1,49
AL,Partly Cloudy,2,4075
AL,Partly Cloudy,3,1970
AL,Partly Cloudy,4,20
AR,Clear,2,55
AR,Clear,3,53
AR,Clear,4,4
AR,Fair,1,17
AR,Fair,2,418
AR,Fair,3,95
AR,Fair,4,54
AR,Mostly Cloudy,1,3
AR,Mostly Cloudy,2,45
AR,Mostly Cloudy,3,30
AR,Mostly Cloudy,4,16
AR,Overcast,2,26
AR,Overcast,3,22
AR,Overcast,4,2
AR,Partly Cloudy,2,26
AR,Partly Cloudy,3,18
AR,Partly Cloudy,4,11
AZ,Clear,1,9
AZ,Clear,2,13331
AZ,Clear,3,3536
AZ,Clear,4,27
AZ,Fair,1,474
AZ,Fair,2,23109
AZ,Fair,3,4741
AZ,Fair,4,135
AZ,Mostly Cloudy,1,77
AZ,Mostly Cloudy,2,7521
AZ,Mostly Cloudy,3,2160
AZ,Mostly Cloudy,4,16
AZ,Overcast,1,1
AZ,Overcast,2,970
AZ,Overcast,3,319
AZ,Partly Cloudy,1,58
AZ,Partly Cloudy,2,7639
AZ,Partly Cloudy,3,2050
AZ,Partly Cloudy,4,15
CA,Clear,1,128
CA,Clear,2,108838
CA,Clear,3,82609
CA,Clear,4,66
CA,Fair,1,2538
CA,Fair,2,88304
CA,Fair,3,42578
CA,Fair,4,382
CA,Mostly Cloudy,1,215
CA,Mostly Cloudy,2,29274
CA,Mostly Cloudy,3,21919
CA,Mostly Cloudy,4,67
CA,Overcast,1,21
CA,Overcast,2,24669
CA,Overcast,3,19951
CA,Overcast,4,16
CA,Partly Cloudy,1,195
CA,Partly Cloudy,2,24350
CA,Partly Cloudy,3,19375
CA,Partly Cloudy,4,59
CO,Clear,2,2394
CO,Clear,3,1555
CO,Clear,4,13
CO,Fair,1,170
CO,Fair,2,5149
CO,Fair,3,4192
CO,Fair,4,173
CO,Mostly Cloudy,1,110
CO,Mostly Cloudy,2,5357
CO,Mostly Cloudy,3,3451
CO,Mostly Cloudy,4,48
CO,Overcast,1,2
CO,Overcast,2,959
CO,Overcast,3,543
CO,Overcast,4,4
CO,Partly Cloudy,1,95
CO,Partly Cloudy,2,4832
CO,Partly Cloudy,3,2874
CO,Partly Cloudy,4,41
CT,Clear,1,9
CT,Clear,2,1897
CT,Clear,3,2743
CT,Clear,4,4
CT,Fair,1,28
CT,Fair,2,1586
CT,Fair,3,3259
CT,Fair,4,57
CT,Mostly Cloudy,1,4
CT,Mostly Cloudy,2,873
CT,Mostly Cloudy,3,1648
CT,Mostly Cloudy,4,15
CT,Overcast,1,2
CT,Overcast,2,950
CT,Overcast,3,1340
CT,Partly Cloudy,1,3
CT,Partly Cloudy,2,571
CT,Partly Cloudy,3,1091
CT,Partly Cloudy,4,6
DC,Clear,2,96
DC,Clear,3,15
DC,Fair,1,32
DC,Fair,2,744
DC,Fair,3,75
DC,Fair,4,3
DC,Mostly Cloudy,1,21
DC,Mostly Cloudy,2,441
DC,Mostly Cloudy,3,194
DC,Mostly Cloudy,4,2
DC,Overcast,2,185
DC,Overcast,3,99
DC,Overcast,4,1
DC,Partly Cloudy,1,8
DC,Partly Cloudy,2,278
DC,Partly Cloudy,3,81
DE,Clear,1,1
DE,Clear,2,1003
DE,Clear,3,73
DE,Fair,1,131
DE,Fair,2,2138
DE,Fair,3,75
DE,Fair,4,6
DE,Mostly Cloudy,1,16
DE,Mostly Cloudy,2,436
DE,Mostly Cloudy,3,25
DE,Overcast,2,415
DE,Overcast,3,37
DE,Partly Cloudy,1,6
DE,Partly Cloudy,2,260
DE,Partly Cloudy,3,12
FL,Clear,1,14
FL,Clear,2,32648
FL,Clear,3,13441
FL,Clear,4,62
FL,Fair,1,2768
FL,Fair,2,48885
FL,Fair,3,16329
FL,Fair,4,584
FL,Mostly Cloudy,1,329
FL,Mostly Cloudy,2,28626
FL,Mostly Cloudy,3,18550
FL,Mostly Cloudy,4,289
FL,Overcast,1,6
FL,Overcast,2,7341
FL,Overcast,3,4750
FL,Overcast,4,26
FL,Partly Cloudy,1,352
FL,Partly Cloudy,2,22213
FL,Partly Cloudy,3,12277
FL,Partly Cloudy,4,215
GA,Clear,1,7
GA,Clear,2,8574
GA,Clear,3,9221
GA,Clear,4,23
GA,Fair,1,367
GA,Fair,2,8694
GA,Fair,3,9861
GA,Fair,4,635
GA,Mostly Cloudy,1,78
GA,Mostly Cloudy,2,4311
GA,Mostly Cloudy,3,9575
GA,Mostly Cloudy,4,270
GA,Overcast,1,4
GA,Overcast,2,3513
GA,Overcast,3,4934
GA,Overcast,4,19
GA,Partly Cloudy,1,40
GA,Partly Cloudy,2,2678
GA,Partly Cloudy,3,5462
GA,Partly Cloudy,4,143
IA,Clear,2,794
IA,Clear,3,1127
IA,Clear,4,2
IA,Fair,1,22
IA,Fair,2,982
IA,Fair,3,1216
IA,Fair,4,55
IA,Mostly Cloudy,1,9
IA,Mostly Cloudy,2,486
IA,Mostly Cloudy,3,582
IA,Mostly Cloudy,4,9
IA,Overcast,1,1
IA,Overcast,2,698
IA,Overcast,3,804
IA,Overcast,4,1
IA,Partly Cloudy,1,5
IA,Partly Cloudy,2,439
IA,Partly Cloudy,3,597
IA,Partly Cloudy,4,13
ID,Clear,2,24
ID,Clear,3,38
ID,Clear,4,1
ID,Fair,2,21
ID,Fair,3,19
ID,Fair,4,8
ID,Mostly Cloudy,1,1
ID,Mostly Cloudy,2,12
ID,Mostly Cloudy,3,4
ID,Mostly Cloudy,4,1
ID,Overcast,2,9
ID,Overcast,3,11
ID,Partly Cloudy,2,4
ID,Partly Cloudy,3,7
ID,Partly Cloudy,4,1
IL,Clear,1,7
IL,Clear,2,11166
IL,Clear,3,1795
IL,Clear,4,14
IL,Fair,1,646
IL,Fair,2,10089
IL,Fair,3,10149
IL,Fair,4,107
IL,Mostly Cloudy,1,181
IL,Mostly Cloudy,2,8170
