State,day_of_week,hour_of_day,total_accidents,high_severity_accidents
AL,0,0,3,3
AL,0,1,1,1
AL,0,3,5,2
AL,0,4,175,50
AL,0,5,248,65
AL,0,6,654,183
AL,0,7,1208,316
AL,0,8,1076,288
AL,0,9,417,124
AL,0,10,490,135
AL,0,11,467,119
AL,0,12,556,137
AL,0,13,471,154
AL,0,14,583,199
AL,0,15,1176,295
AL,0,16,1188,321
AL,0,17,1354,365
AL,0,18,769,226
AL,0,19,568,168
AL,0,20,330,83
AL,0,21,247,64
AL,0,22,158,44
AL,0,23,2,1
AL,1,2,1,0
AL,1,3,4,2
AL,1,4,173,60
AL,1,5,269,87
AL,1,6,742,201
AL,1,7,1341,360
AL,1,8,1134,292
AL,1,9,432,134
AL,1,10,499,129
AL,1,11,407,106
AL,1,12,512,117
AL,1,13,413,114
AL,1,14,559,158
AL,1,15,1159,258
AL,1,16,1201,295
AL,1,17,1413,416
AL,1,18,779,212
AL,1,19,534,130
AL,1,20,390,88
AL,1,21,257,59
AL,1,22,163,58
AL,2,0,2,1
AL,2,1,1,0
AL,2,2,2,1
AL,2,3,3,1
AL,2,4,182,74
AL,2,5,285,90
AL,2,6,756,224
AL,2,7,1350,356
AL,2,8,1126,303
AL,2,9,430,132
AL,2,10,502,120
AL,2,11,435,117
AL,2,12,591,180
AL,2,13,459,131
AL,2,14,573,168
AL,2,15,1160,283
AL,2,16,1232,340
AL,2,17,1501,426
AL,2,18,812,231
AL,2,19,604,148
AL,2,20,393,106
AL,2,21,287,84
AL,2,22,160,48
AL,3,0,4,2
AL,3,1,1,0
AL,3,2,4,2
AL,3,3,4,2
AL,3,4,203,68
AL,3,5,256,67
AL,3,6,687,195
AL,3,7,1304,320
AL,3,8,1100,291
AL,3,9,420,131
AL,3,10,483,142
AL,3,11,400,103
AL,3,12,555,139
AL,3,13,473,158
AL,3,14,603,190
AL,3,15,1229,350
AL,3,16,1217,368
AL,3,17,1554,472
AL,3,18,813,237
AL,3,19,608,156
AL,3,20,414,118
AL,3,21,295,90
AL,3,22,162,58
AL,3,23,2,1
AL,4,0,1,1
AL,4,3,4,3
AL,4,4,217,74
AL,4,5,292,92
AL,4,6,637,205
AL,4,7,1078,259
AL,4,8,888,230
AL,4,9,429,119
AL,4,10,534,147
AL,4,11,462,132
AL,4,12,665,187
AL,4,13,591,204
AL,4,14,725,248
AL,4,15,1509,454
AL,4,16,1509,486
AL,4,17,1420,454
AL,4,18,913,296
AL,4,19,666,194
AL,4,20,456,129
AL,4,21,319,90
AL,4,22,214,55
AL,4,23,2,1
AL,5,6,162,92
AL,5,7,133,62
AL,5,8,161,85
AL,5,9,192,83
AL,5,10,240,107
AL,5,11,321,155
AL,5,12,278,125
AL,5,13,316,140
AL,5,14,351,146
AL,5,15,303,130
AL,5,16,239,83
AL,5,17,260,89
AL,5,18,196,78
AL,5,19,190,81
AL,5,20,156,59
AL,5,21,139,58
AL,5,22,17,7
AL,5,23,1,1
AL,6,2,1,1
AL,6,3,1,0
AL,6,5,1,1
AL,6,6,108,56
AL,6,7,102,46
AL,6,8,134,67
AL,6,9,119,55
AL,6,10,158,64
AL,6,11,218,94
AL,6,12,221,88
AL,6,13,266,116
AL,6,14,267,134
AL,6,15,253,128
AL,6,16,216,104
AL,6,17,215,91
AL,6,18,216,101
AL,6,19,172,69
AL,6,20,129,66
AL,6,21,145,68
AL,6,22,22,13
AL,6,23,1,1
AR,0,3,2,2
AR,0,4,12,5
AR,0,5,20,8
AR,0,6,33,7
AR,0,7,85,11
AR,0,8,67,7
AR,0,9,3,0
AR,0,10,3,2
AR,0,11,5,4
AR,0,12,2,0
AR,0,15,7,3
AR,0,16,3,3
AR,0,17,9,8
AR,0,18,1,0
AR,0,19,2,2
AR,0,20,2,1
AR,0,21,3,3
AR,0,22,1,0
AR,0,23,2,1
AR,1,2,1,1
AR,1,4,13,4
AR,1,5,19,9
AR,1,6,40,16
AR,1,7,79,11
AR,1,8,91,20
AR,1,9,9,6
AR,1,10,11,8
AR,1,11,5,4
AR,1,12,5,5
AR,1,13,4,4
AR,1,15,2,2
AR,1,16,2,2
AR,1,17,2,2
AR,1,18,1,1
AR,1,19,2,1
AR,1,20,1,1
AR,1,21,3,2
AR,2,1,2,1
AR,2,2,1,1
AR,2,4,11,6
AR,2,5,19,7
AR,2,6,43,17
AR,2,7,79,19
AR,2,8,66,14
AR,2,9,4,3
AR,2,10,10,6
AR,2,11,7,5
AR,2,12,8,5
AR,2,13,5,2
AR,2,14,4,2
AR,2,15,4,4
AR,2,16,5,4
AR,2,17,5,4
AR,2,18,4,4
AR,2,19,3,2
AR,2,20,1,1
AR,2,21,2,1
AR,2,22,3,2
AR,3,4,17,5
AR,3,5,34,13
AR,3,6,43,19
AR,3,7,79,15
AR,3,8,66,15
AR,3,9,9,7
AR,3,10,7,5
AR,3,11,1,1
AR,3,12,2,1
AR,3,13,2,1
AR,3,14,7,6
AR,3,15,8,5
AR,3,16,3,2
AR,3,17,6,4
AR,3,18,3,3
AR,3,19,1,0
AR,3,20,1,1
AR,3,21,2,2
AR,3,23,1,1
AR,4,3,1,0
AR,4,4,14,3
AR,4,5,14,6
AR,4,6,25,5
AR,4,7,51,7
AR,4,8,57,10
AR,4,9,7,4
AR,4,10,7,4
AR,4,11,6,5
AR,4,12,4,4
AR,4,13,3,3
AR,4,14,3,2
AR,4,15,2,2
AR,4,16,7,5
AR,4,17,3,2
AR,4,18,5,1
AR,4,19,3,2
AR,4,20,3,2
AR,4,22,5,4
AR,5,2,2,2
AR,5,3,1,1
AR,5,5,1,1
AR,5,6,1,1
AR,5,7,1,1
AR,5,8,1,1
AR,5,9,3,2
AR,5,11,3,2
AR,5,12,2,2
AR,5,13,2,1
AR,5,14,1,1
AR,5,15,1,1
AR,5,16,1,1
AR,5,17,2,2
AR,5,18,1,1
AR,5,19,2,2
AR,5,20,2,1
AR,5,21,1,0
AR,5,22,1,1
AR,6,0,1,1
AR,6,1,1,1
AR,6,6,3,3
AR,6,8,1,1
AR,6,9,1,1
AR,6,10,1,1
AR,6,12,3,2
AR,6,13,1,1
AR,6,14,1,1
AR,6,15,6,4
AR,6,16,3,1
AR,6,17,1,0
AR,6,19,2,2
AR,6,20,1,1
AR,6,21,1,1
AZ,0,0,2,2
AZ,0,1,1,1
AZ,0,2,6,2
AZ,0,3,135,44
AZ,0,4,420,108
AZ,0,5,570,120
AZ,0,6,982,150
AZ,0,7,1432,164
AZ,0,8,1259,150
AZ,0,9,691,80
AZ,0,10,564,95
AZ,0,11,488,74
AZ,0,12,378,86
AZ,0,13,589,141
AZ,0,14,887,165
AZ,0,15,1045,222
AZ,0,16,1366,216
AZ,0,17,1190,212
AZ,0,18,583,116
AZ,0,19,292,75
AZ,0,20,237,67
AZ,0,21,201,70
AZ,0,22,68,23
AZ,0,23,3,1
AZ,1,0,6,1
AZ,1,1,6,4
AZ,1,2,11,3
AZ,1,3,104,25
AZ,1,4,402,92
AZ,1,5,634,136
AZ,1,6,1134,223
AZ,1,7,1642,206
AZ,1,8,1474,179
AZ,1,9,750,100
AZ,1,10,553,94
AZ,1,11,517,87
AZ,1,12,417,102
AZ,1,13,567,106
AZ,1,14,974,183
AZ,1,15,1081,212
AZ,1,16,1450,267
AZ,1,17,1285,244
AZ,1,18,698,178
AZ,1,19,364,94
AZ,1,20,265,69
AZ,1,21,202,64
AZ,1,22,80,37
AZ,1,23,9,4
AZ,2,1,2,1
AZ,2,2,1,1
AZ,2,3,92,32
AZ,2,4,411,101
AZ,2,5,638,140
AZ,2,6,1124,202
AZ,2,7,1585,205
AZ,2,8,1482,163
AZ,2,9,826,123
AZ,2,10,609,87
AZ,2,11,548,86
AZ,2,12,437,94
AZ,2,13,574,113
AZ,2,14,988,178
AZ,2,15,1086,217
AZ,2,16,1431,216
AZ,2,17,1285,241
AZ,2,18,721,157
AZ,2,19,348,77
AZ,2,20,262,61
AZ,2,21,211,68
AZ,2,22,71,31
AZ,2,23,7,2
AZ,3,0,3,2
AZ,3,1,4,3
AZ,3,3,106,31
AZ,3,4,424,100
AZ,3,5,650,153
AZ,3,6,1008,161
AZ,3,7,1620,214
AZ,3,8,1346,144
AZ,3,9,729,95
AZ,3,10,548,96
AZ,3,11,516,90
AZ,3,12,503,97
AZ,3,13,558,123
